detector_name,level,with_aluminum_foil,parameters,covariance_matrix,start_time,real_time,live_time,measured_efficiency_energy,measured_efficiency_eff,measured_efficiency_eff_error
Toptunov,1,False,"[864.5405498377953, -875.4576734631354, 335.5576823242991, -61.36680091521429, 5.420625502713322, -0.1864117130970874]","[[156781.2704646247, -139988.2822308652, 49346.927498758596, -8589.229233120941, 738.6886485640167, -25.128646657355752], [-139988.2822308652, 125097.09039279712, -44136.62764651597, 7689.470685914326, -661.9414076032382, 22.539736835945202], [49346.927498758596, -44136.62764651597, 15586.97937319738, -2718.261802608798, 234.23938009565884, -7.9843718442278355], [-8589.229233120941, 7689.470685914326, -2718.261802608798, 474.54221400234525, -40.93660787309943, 1.3969062923334055], [738.6886485640167, -661.9414076032382, 234.23938009565884, -40.93660787309943, 3.535344049733091, -0.12077475974652996], [-25.128646657355752, 22.539736835945202, -7.9843718442278355, 1.3969062923334055, -0.12077475974652996, 0.0041306263940951455]]",2026-09-01 11:35:03+02:00,4413.7799999,4349.2399999,"[59.5409, 88.0336, 122.06065, 165.8575, 514.0048, 661.657, 1173.228, 1332.492, 1836.063]","[0.03413422096404968, 0.0708010012514781, 0.07774568963380968, 0.06759225684387091, 0.023158440833623388, 0.017821434464379733, 0.010032060017759449, 0.00893660470684591, 0.006634448884309828]","[0.0004882874321477431, 0.003232109799784318, 0.0005814788813838118, 0.0005561158018068279, 0.0003958334305242191, 0.00015098207973038646, 0.0001405617340336981, 0.00012571595654094358, 6.939190613697786e-05]"
Toptunov,2,False,"[725.0884508740829, -713.4795646344953, 268.740579198738, -48.67517200654675, 4.278489807914809, -0.14685193715487907]","[[68261.15762727223, -60985.578908784315, 21511.48116860424, -3746.741960162836, 322.44831477273357, -10.976688404118363], [-60985.578908784315, 54530.690417879334, -19251.73894030681, 3356.2852787651473, -289.1233184472019, 9.851849479067438], [21511.48116860424, -19251.73894030681, 6803.181409060758, -1187.2306690930743, 102.37804165679444, -3.4921643158333975], [-3746.741960162836, 3356.2852787651473, -1187.2306690930743, 207.4026914655812, -17.904253635161304, 0.6113924640915578], [322.44831477273357, -289.1233184472019, 102.37804165679444, -17.904253635161304, 1.5473279610434352, -0.052897658355047616], [-10.976688404118363, 9.851849479067438, -3.4921643158333975, 0.6113924640915578, -0.052897658355047616, 0.0018104499162502387]]",2026-09-01 13:55:42+02:00,6569.089999899999,6504.2199998999995,"[59.5409, 88.0336, 122.06065, 165.8575, 514.0048, 661.657, 1173.228, 1332.492, 1836.063]","[0.02303735388598986, 0.04627434932904965, 0.050283011453429526, 0.04402531070361363, 0.015357563314408858, 0.011805804368045875, 0.006824691938370289, 0.006083634904063401, 0.0045549453128167225]","[0.0003294977692143103, 0.002110981508454643, 0.0003779783892991287, 0.0003659497929156828, 0.00024967132109829604, 0.00010042622785758121, 9.607156282351302e-05, 8.537891283480325e-05, 4.5315551962027065e-05]"
Toptunov,4,False,"[540.9096804179115, -514.1125933585519, 189.1520529301514, -33.75042447533791, 2.938313106790521, -0.10024303785456738]","[[17882.03414704681, -16008.664568325898, 5659.134197195798, -987.9582547882868, 85.22879951246664, -2.908429114758123], [-16008.664568325898, 14344.360280614239, -5075.634269678122, 886.978395879897, -76.5961533373113, 2.616553629014055], [5659.134197195798, -5075.634269678122, 1797.801747155727, -314.5053044272042, 27.189298851272383, -0.9298251486999424], [-987.9582547882868, 886.978395879897, -314.5053044272042, 55.08071749558767, -4.767252188348928, 0.16322037035924358], [85.22879951246664, -76.5961533373113, 27.189298851272383, -4.767252188348928, 0.4130935043198595, -0.014160240028050637], [-2.908429114758123, 2.616553629014055, -0.9298251486999424, 0.16322037035924358, -0.014160240028050637, 0.000485973936305012]]",2026-09-01 16:51:31+02:00,12270.399999899999,12204.819999899999,"[59.5409, 88.0336, 122.06065, 165.8575, 514.0048, 661.657, 1173.228, 1332.492, 1836.063]","[0.011698103728860274, 0.02280657928584047, 0.02520957589278249, 0.022517649186594896, 0.007908194366369276, 0.0062265675368555215, 0.0037003836712749373, 0.0032918666581922772, 0.0025105491305702477]","[0.00016567769597145755, 0.0010397704063948826, 0.00018840505235334998, 0.00018476061637408053, 0.0001393699833038591, 5.285744729920192e-05, 5.183906996156747e-05, 4.632299268388635e-05, 2.571122324333406e-05]"
Toptunov,10,False,"[223.34436027262038, -207.72831306364293, 75.36852064034926, -13.352504406474614, 1.1599607456005026, -0.039635142498551455]","[[1453.318283036153, -1304.7532890136117, 462.62150060245375, -81.015558839809, 7.011277742213364, -0.24002359835519008], [-1304.7532890136117, 1172.4946734427367, -416.149840366846, 72.95468336370087, -6.320529693792923, 0.216612885031937], [462.62150060245375, -416.149840366846, 147.8625442241046, -25.950850158872935, 2.25088328350624, -0.07723020000446701], [-81.015558839809, 72.95468336370087, -25.950850158872935, 4.559906863610301, -0.3959857937490786, 0.01360310570080586], [7.011277742213364, -6.320529693792923, 2.25088328350624, -0.3959857937490786, 0.03442997383912392, -0.0011842144576017228], [-0.24002359835519008, 0.216612885031937, -0.07723020000446701, 0.01360310570080586, -0.0011842144576017228, 4.078126141459298e-05]]",2026-09-03 17:10:16+02:00,39182.7899999,39115.159999899995,"[59.5409, 88.0336, 122.06065, 165.8575, 514.0048, 661.657, 1173.228, 1332.492, 1836.063]","[0.003077912866833508, 0.006002462239010829, 0.0067630153829700895, 0.006244446893440661, 0.0022857390762817385, 0.00185066113529823, 0.0011396614560227308, 0.0010116755488924236, 0.0007638312905625478]","[4.352310118768138e-05, 0.00027393894074693005, 5.091165628768205e-05, 5.254430135539442e-05, 4.3710662219591446e-05, 1.567400175758574e-05, 1.596111660302525e-05, 1.4275877057925778e-05, 7.780444205913094e-06]"
