Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type, Skew_Type, Continuum_Coefficients, Skew_Coefficients
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               ,          ,                       ,                  
   30.62,   85780.2,  329.7    ,2.3210e+000, 0.30,  0.97%,   2.13,  246705.2,  1,  ,36958.965,2-Jun-2025,16:26:32,Ba133 (x-ray),30.62,29.727,32.3841,#00b9ff,,Linear,NoSkew,29.727 4604.204 -796.52,
   30.97,  151375.6,  416.3    ,4.0958e+000, 0.30,  0.96%,   2.13,  246705.2,  2,  ,36958.965,2-Jun-2025,16:26:32,Ba133 (x-ray),30.97,29.727,32.3841,#00b9ff,,Linear,NoSkew,29.727 4604.204 -796.52,
   34.96,   31324.5,  180.9    ,8.4755e-001, 0.33,  0.94%,   1.13,   42316.5,  3,  ,36958.965,2-Jun-2025,16:26:32,Ba133 (x-ray),34.99;34.92,33.6752,37.075,#00b9ff,,Linear,NoSkew,33.6752 1459.398 -245.914,
   35.82,    7366.0,  91.4     ,1.9930e-001, 0.35,  0.98%,   1.13,   42316.5,  4,  ,36958.965,2-Jun-2025,16:26:32,Ba133 (x-ray),35.82,33.6752,37.075,#00b9ff,,Linear,NoSkew,33.6752 1459.398 -245.914,
   53.16,    1027.0,  41.9     ,2.7787e-002, 0.37,  0.70%,   0.92,    3711.4,  5,  ,36958.965,2-Jun-2025,16:26:32,Ba133,53.16,50.7203,54.8535,#00b9ff,,Linear,NoSkew,50.7094 631.1203 -0.8544688,
   80.97,    4045.5,  69.3     ,1.0946e-001, 0.46,  0.56%,   0.75,    5161.8,  7,  ,36958.965,2-Jun-2025,16:26:32,Ba133,81.00,80.1615,83.4197,#00b9ff,,Linear,NoSkew,80.1615 335.4251 -5.489295,
