Centroid,  Net_Area,   Net_Area,, ,          ,     ,     , Nuclide, Photopeak_Energy,,
     keV,    Counts,Uncertainty,AccumulatedTime, RealTime,  LiveTime, Date, Time,        ,              keV,slowCounts, fastCounts, peakingTime, flatTopWidth, Gain
   11.88,    8661.1,  104.1    ,1896.613, 1899.175,1884.475,13-Jun-2025,09:40:03,Am241 (x-ray),11.87,500000, 503214, 25.600000, 4.000000, 3.398
   26.35,   11066.7,  106.1    ,1896.613, 1899.175,1884.475,13-Jun-2025,09:40:03,Am241,26.35,500000, 503214, 25.600000, 4.000000, 3.398
   33.19,     314.4,  18.8     ,1896.613, 1899.175,1884.475,13-Jun-2025,09:40:03,Am241,33.20,500000, 503214, 25.600000, 4.000000, 3.398
   59.53,   16263.7,  127.9    ,1896.613, 1899.175,1884.475,13-Jun-2025,09:40:03,Am241,59.54,500000, 503214, 25.600000, 4.000000, 3.398
