Centroid,  Net_Area,   Net_Area,, ,          ,     ,     , Nuclide, Photopeak_Energy,,
     keV,    Counts,Uncertainty,AccumulatedTime, RealTime,  LiveTime, Date, Time,        ,              keV,slowCounts, fastCounts, peakingTime, flatTopWidth, Gain
   30.63,   82003.6,  322.2    ,1396.655, 1400.818,1246.654,15-May-2025,11:44:48,Ba133 (x-ray),30.62,500000, 560177, 25.600000, 4.000000, 3.398
   30.98,  152479.9,  416.9    ,1396.655, 1400.818,1246.654,15-May-2025,11:44:48,Ba133 (x-ray),30.97,500000, 560177, 25.600000, 4.000000, 3.398
   34.97,   30644.3,  178.2    ,1396.655, 1400.818,1246.654,15-May-2025,11:44:48,Ba133 (x-ray),34.99;34.92,500000, 560177, 25.600000, 4.000000, 3.398
   35.84,    6849.8,  87.6     ,1396.655, 1400.818,1246.654,15-May-2025,11:44:48,Ba133 (x-ray),35.82,500000, 560177, 25.600000, 4.000000, 3.398
   53.18,    1021.3,  38.2     ,1396.655, 1400.818,1246.654,15-May-2025,11:44:48,Ba133,53.16,500000, 560177, 25.600000, 4.000000, 3.398
   81.00,    3900.4,  67.6     ,1396.655, 1400.818,1246.654,15-May-2025,11:44:48,Ba133,81.00,500000, 560177, 25.600000, 4.000000, 3.398
