Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type, Skew_Type, Continuum_Coefficients, Skew_Coefficients
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               ,          ,                       ,                  
   30.63,   83990.9,  327.0    ,9.8098e+000, 0.30,  0.98%,   2.01,  242509.1,  1,  ,8561.897,15-May-2025,14:33:15,Ba133 (x-ray),30.62,29.633,32.1549,#00b9ff,,Linear,NoSkew,29.633 4237.204 -655.5846,
   30.98,  149828.7,  414.9    ,1.7499e+001, 0.30,  0.97%,   2.01,  242509.1,  2,  ,8561.897,15-May-2025,14:33:15,Ba133 (x-ray),30.97,29.633,32.1549,#00b9ff,,Linear,NoSkew,29.633 4237.204 -655.5846,
   34.98,   30455.8,  178.1    ,3.5571e+000, 0.33,  0.95%,   1.66,   41275.3,  3,  ,8561.897,15-May-2025,14:33:15,Ba133 (x-ray),34.99;34.92,33.5124,37.0273,#00b9ff,,Linear,NoSkew,33.5124 1410.546 -230.2638,
   35.83,    7150.2,  90.0     ,8.3511e-001, 0.35,  0.99%,   1.66,   41275.3,  4,  ,8561.897,15-May-2025,14:33:15,Ba133 (x-ray),35.82,33.5124,37.0273,#00b9ff,,Linear,NoSkew,33.5124 1410.546 -230.2638,
   53.18,    1026.4,  40.5     ,1.1988e-001, 0.39,  0.73%,   1.10,    2088.0,  5,  ,8561.897,15-May-2025,14:33:15,Ba133,53.16,52.2501,54.1582,#00b9ff,,Linear,NoSkew,52.2501 533.0476 -3.195287,
   81.00,    3832.8,  67.3     ,4.4765e-001, 0.45,  0.56%,   1.07,    5388.5,  7,  ,8561.897,15-May-2025,14:33:15,Ba133,81.00,80.1146,84.2403,#00b9ff,,Linear,NoSkew,80.1146 370.3035 -7.887718,
