Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type, Skew_Type, Continuum_Coefficients, Skew_Coefficients
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               ,          ,                       ,                  
   30.63,   82003.6,  322.2    ,6.5779e+001, 0.30,  0.96%,   2.36,  245369.1,  1,  ,1246.654,15-May-2025,11:44:48,Ba133 (x-ray),30.62,29.3368,32.9952,#00b9ff,,Linear,NoSkew,29.3368 4418.201 -819.086,
   30.98,  152479.9,  416.9    ,1.2231e+002, 0.30,  0.98%,   2.36,  245369.1,  2,  ,1246.654,15-May-2025,11:44:48,Ba133 (x-ray),30.97,29.3368,32.9952,#00b9ff,,Linear,NoSkew,29.3368 4418.201 -819.086,
   34.97,   30644.3,  178.2    ,2.4581e+001, 0.34,  0.96%,   1.51,   41238.2,  3,  ,1246.654,15-May-2025,11:44:48,Ba133 (x-ray),34.99;34.92,33.2479,37.1326,#00b9ff,,Linear,NoSkew,33.2478 1353.323 -218.0925,
   35.84,    6849.8,  87.6     ,5.4946e+000, 0.35,  0.98%,   1.51,   41238.2,  4,  ,1246.654,15-May-2025,11:44:48,Ba133 (x-ray),35.82,33.2479,37.1326,#00b9ff,,Linear,NoSkew,33.2478 1353.323 -218.0925,
   53.18,    1021.3,  38.2     ,8.1922e-001, 0.39,  0.73%,   1.18,    3234.5,  5,  ,1246.654,15-May-2025,11:44:48,Ba133,53.16,51.0156,55.2088,#00b9ff,,Linear,NoSkew,51.0156 488.2139 6.464467,
   81.00,    3900.4,  67.6     ,3.1287e+000, 0.45,  0.56%,   0.90,    4755.0,  7,  ,1246.654,15-May-2025,11:44:48,Ba133,81.00,79.9289,82.1014,#00b9ff,,Linear,NoSkew,79.9289 382.55 -6.392513,
