Centroid,  Net_Area,   Net_Area,, ,          ,     ,     , Nuclide, Photopeak_Energy,,
     keV,    Counts,Uncertainty,AccumulatedTime, RealTime,  LiveTime, Date, Time,        ,              keV,slowCounts, fastCounts, peakingTime, flatTopWidth, Gain
   30.62,   83914.6,  326.1    ,19020.978, 19038.979,17339.523,20-May-2025,08:59:41,Ba133 (x-ray),30.62,500000, 548500, 25.600000, 4.000000, 3.398
   30.97,  150728.7,  415.2    ,19020.978, 19038.979,17339.523,20-May-2025,08:59:41,Ba133 (x-ray),30.97,500000, 548500, 25.600000, 4.000000, 3.398
   34.96,   30886.6,  179.5    ,19020.978, 19038.979,17339.523,20-May-2025,08:59:41,Ba133 (x-ray),34.99;34.92,500000, 548500, 25.600000, 4.000000, 3.398
   35.82,    7099.9,  89.8     ,19020.978, 19038.979,17339.523,20-May-2025,08:59:41,Ba133 (x-ray),35.82,500000, 548500, 25.600000, 4.000000, 3.398
   53.15,    1039.7,  40.0     ,19020.978, 19038.979,17339.523,20-May-2025,08:59:41,Ba133,53.16,500000, 548500, 25.600000, 4.000000, 3.398
   80.97,    3840.6,  67.7     ,19020.978, 19038.979,17339.523,20-May-2025,08:59:41,Ba133,81.00,500000, 548500, 25.600000, 4.000000, 3.398
