Centroid,  Net_Area,   Net_Area,, ,          ,     ,     , Nuclide, Photopeak_Energy,,
     keV,    Counts,Uncertainty,AccumulatedTime, RealTime,  LiveTime, Date, Time,        ,              keV,slowCounts, fastCounts, peakingTime, flatTopWidth, Gain
   30.63,   83858.4,  325.5    ,5956.138, 5963.807,5370.649,15-May-2025,11:49:19,Ba133 (x-ray),30.62,500000, 554498, 25.600000, 4.000000, 3.398
   30.98,  149158.0,  413.2    ,5956.138, 5963.807,5370.649,15-May-2025,11:49:19,Ba133 (x-ray),30.97,500000, 554498, 25.600000, 4.000000, 3.398
   34.97,   30857.8,  179.1    ,5956.138, 5963.807,5370.649,15-May-2025,11:49:19,Ba133 (x-ray),34.99;34.92,500000, 554498, 25.600000, 4.000000, 3.398
   35.83,    7182.8,  89.8     ,5956.138, 5963.807,5370.649,15-May-2025,11:49:19,Ba133 (x-ray),35.82,500000, 554498, 25.600000, 4.000000, 3.398
   53.16,    1036.1,  38.2     ,5956.138, 5963.807,5370.649,15-May-2025,11:49:19,Ba133,53.16,500000, 554498, 25.600000, 4.000000, 3.398
   80.99,    4022.0,  69.8     ,5956.138, 5963.807,5370.649,15-May-2025,11:49:19,Ba133,81.00,500000, 554498, 25.600000, 4.000000, 3.398
