Centroid,  Net_Area,   Net_Area,, ,          ,     ,     , Nuclide, Photopeak_Energy,,
     keV,    Counts,Uncertainty,AccumulatedTime, RealTime,  LiveTime, Date, Time,        ,              keV,slowCounts, fastCounts, peakingTime, flatTopWidth, Gain
   30.62,   84228.1,  326.8    ,25100.901, 25123.749,22796.639,19-May-2025,07:58:31,Ba133 (x-ray),30.62,500000, 550557, 25.600000, 4.000000, 3.398
   30.97,  151332.8,  416.2    ,25100.901, 25123.749,22796.639,19-May-2025,07:58:31,Ba133 (x-ray),30.97,500000, 550557, 25.600000, 4.000000, 3.398
   34.96,   31278.2,  180.6    ,25100.901, 25123.749,22796.639,19-May-2025,07:58:31,Ba133 (x-ray),34.99;34.92,500000, 550557, 25.600000, 4.000000, 3.398
   35.82,    7230.3,  90.7     ,25100.901, 25123.749,22796.639,19-May-2025,07:58:31,Ba133 (x-ray),35.82,500000, 550557, 25.600000, 4.000000, 3.398
   53.16,    1070.9,  40.7     ,25100.901, 25123.749,22796.639,19-May-2025,07:58:31,Ba133,53.16,500000, 550557, 25.600000, 4.000000, 3.398
   80.98,    3698.3,  67.5     ,25100.901, 25123.749,22796.639,19-May-2025,07:58:31,Ba133,81.00,500000, 550557, 25.600000, 4.000000, 3.398
