Centroid,  Net_Area,   Net_Area,, ,          ,     ,     , Nuclide, Photopeak_Energy,,
     keV,    Counts,Uncertainty,AccumulatedTime, RealTime,  LiveTime, Date, Time,        ,              keV,slowCounts, fastCounts, peakingTime, flatTopWidth, Gain
30.62,84250.1,327.3,91204.586, 91231.931,86434.586,16-May-2025,19:20:00,Ba133 (x-ray),30.62,500000, 527598, 25.600000, 4.000000, 3.398
30.97,154409.1,420.1,91204.586, 91231.931,86434.586,16-May-2025,19:20:00,Ba133 (x-ray),30.97,500000, 527598, 25.600000, 4.000000, 3.398
34.96,31667.0,181.8,91204.586, 91231.931,86434.586,16-May-2025,19:20:00,Ba133 (x-ray),34.99;34.92,500000, 527598, 25.600000, 4.000000, 3.398
35.82,7275.7,90.8,91204.586, 91231.931,86434.586,16-May-2025,19:20:00,Ba133 (x-ray),35.82,500000, 527598, 25.600000, 4.000000, 3.398
53.16,1062.8,42.1,91204.586, 91231.931,86434.586,16-May-2025,19:20:00,Ba133,53.16,500000, 527598, 25.600000, 4.000000, 3.398
80.97,3974.5,68.7,91204.586, 91231.931,86434.586,16-May-2025,19:20:00,Ba133,81.00,500000, 527598, 25.600000, 4.000000, 3.398
