Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type, Skew_Type, Continuum_Coefficients, Skew_Coefficients
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               ,          ,                       ,                  
   30.63,   83858.4,  325.5    ,1.5614e+001, 0.30,  0.97%,   2.20,  242657.9,  1,  ,5370.649,15-May-2025,11:49:19,Ba133 (x-ray),30.62,29.4895,32.3127,#00b9ff,,Linear,NoSkew,29.4895 4259.054 -630.4098,
   30.98,  149158.0,  413.2    ,2.7773e+001, 0.30,  0.97%,   2.20,  242657.9,  2,  ,5370.649,15-May-2025,11:49:19,Ba133 (x-ray),30.97,29.4895,32.3127,#00b9ff,,Linear,NoSkew,29.4895 4259.054 -630.4098,
   34.97,   30857.8,  179.1    ,5.7456e+000, 0.33,  0.94%,   1.73,   41746.7,  3,  ,5370.649,15-May-2025,11:49:19,Ba133 (x-ray),34.99;34.92,33.4472,37.2009,#00b9ff,,Linear,NoSkew,33.4472 1405.539 -241.8306,
   35.83,    7182.8,  89.8     ,1.3374e+000, 0.36,  1.00%,   1.73,   41746.7,  4,  ,5370.649,15-May-2025,11:49:19,Ba133 (x-ray),35.82,33.4472,37.2009,#00b9ff,,Linear,NoSkew,33.4472 1405.539 -241.8306,
   53.16,    1036.1,  38.2     ,1.9292e-001, 0.35,  0.66%,   0.93,    3342.8,  5,  ,5370.649,15-May-2025,11:49:19,Ba133,53.16,50.4723,54.7295,#00b9ff,,Linear,NoSkew,50.4723 513.9491 3.870672,
   80.99,    4022.0,  69.8     ,7.4888e-001, 0.46,  0.57%,   0.81,    4747.9,  7,  ,5370.649,15-May-2025,11:49:19,Ba133,81.00,80.1897,82.1458,#00b9ff,,Linear,NoSkew,80.1897 366.3961 -7.549132,
