Centroid,  Net_Area,   Net_Area,, ,          ,     ,     , Nuclide, Photopeak_Energy,,
     keV,    Counts,Uncertainty,AccumulatedTime, RealTime,  LiveTime, Date, Time,        ,              keV,slowCounts, fastCounts, peakingTime, flatTopWidth, Gain
   11.88,    8048.5,  102.4    ,95692.321, 95769.752,95692.320,15-Jun-2025,02:09:32,Am241 (x-ray),11.87,500000, 499399, 25.600000, 4.000000, 3.398
   26.34,   11025.9,  106.6    ,95692.321, 95769.752,95692.320,15-Jun-2025,02:09:32,Am241,26.35,500000, 499399, 25.600000, 4.000000, 3.398
   33.18,     313.9,  19.4     ,95692.321, 95769.752,95692.320,15-Jun-2025,02:09:32,Am241,33.20,500000, 499399, 25.600000, 4.000000, 3.398
   59.53,   16550.1,  129.2    ,95692.321, 95769.752,95692.320,15-Jun-2025,02:09:32,Am241,59.54,500000, 499399, 25.600000, 4.000000, 3.398
