#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-01-09, 14:35:14
# Real time (s): 11823.350
# Live time (s): 11028.830
#
# Total counts:  59919795
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       1129086
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
209	50.841	18147	1.64541
210	51.085	17679	1.60298
211	51.329	17926	1.62538
212	51.573	17683	1.60334
213	51.817	17524	1.58893
214	52.061	18396	1.66799
215	52.305	18896	1.71333
216	52.548	19965	1.81026
217	52.792	21455	1.94536
218	53.036	22577	2.04709
219	53.280	22973	2.083
220	53.524	22111	2.00484
221	53.768	20679	1.87499
222	54.012	19028	1.7253
223	54.256	17369	1.57487
224	54.499	16266	1.47486
225	54.743	15618	1.41611
226	54.987	15144	1.37313
227	55.231	14977	1.35799
228	55.475	15099	1.36905
229	55.719	14873	1.34856
230	55.963	14998	1.35989
231	56.206	14903	1.35128
232	56.450	14686	1.3316
233	56.694	14615	1.32516
234	56.938	14424	1.30784
235	57.182	14453	1.31047
236	57.426	15269	1.38446
237	57.670	16527	1.49853
238	57.913	21425	1.94264
239	58.157	32834	2.97711
240	58.401	57323	5.19756
241	58.645	101025	9.16008
242	58.889	165404	14.9974
243	59.133	244161	22.1384
244	59.377	316202	28.6705
245	59.621	359042	32.5549
246	59.864	352411	31.9536
247	60.108	301935	27.3769
248	60.352	223692	20.2825
249	60.596	147383	13.3634
250	60.840	87455	7.92967
251	61.084	50328	4.56331
252	61.328	32016	2.90294
253	61.571	24853	2.25346
254	61.815	22499	2.04002
255	62.059	20928	1.89757
256	62.303	19111	1.73282
257	62.547	16675	1.51195
258	62.791	14628	1.32634
259	63.035	13041	1.18245
260	63.278	11683	1.05931
261	63.522	11094	1.00591
262	63.766	10917	0.98986
263	64.010	10818	0.980884
264	64.254	10989	0.996389
265	64.498	11129	1.00908
266	64.742	11562	1.04834
267	64.986	12404	1.12469
268	65.229	13371	1.21237
269	65.473	14311	1.2976
270	65.717	15621	1.41638
271	65.961	16573	1.5027
272	66.205	16955	1.53733
273	66.449	17142	1.55429
274	66.693	16256	1.47396
275	66.936	15182	1.37657
276	67.180	14364	1.3024
277	67.424	13071	1.18517
278	67.668	12051	1.09268
279	67.912	11330	1.02731
280	68.156	10964	0.994122
281	68.400	10629	0.963747
282	68.644	10495	0.951597
283	68.887	10201	0.924939
284	69.131	10511	0.953048
285	69.375	10388	0.941895
286	69.619	10584	0.959667
