Centroid,  Net_Area,   Net_Area,, ,          ,     ,     , Nuclide, Photopeak_Energy,,
     keV,    Counts,Uncertainty,AccumulatedTime, RealTime,  LiveTime, Date, Time,        ,              keV,slowCounts, fastCounts, peakingTime, flatTopWidth, Gain
   30.62,   85780.2,  329.7    ,40063.918, 40098.638,36958.965,2-Jun-2025,16:26:32,Ba133 (x-ray),30.62,500000, 542004, 25.600000, 4.000000, 3.398
   30.97,  151375.6,  416.3    ,40063.918, 40098.638,36958.965,2-Jun-2025,16:26:32,Ba133 (x-ray),30.97,500000, 542004, 25.600000, 4.000000, 3.398
   34.96,   31324.5,  180.9    ,40063.918, 40098.638,36958.965,2-Jun-2025,16:26:32,Ba133 (x-ray),34.99;34.92,500000, 542004, 25.600000, 4.000000, 3.398
   35.82,    7366.0,  91.4     ,40063.918, 40098.638,36958.965,2-Jun-2025,16:26:32,Ba133 (x-ray),35.82,500000, 542004, 25.600000, 4.000000, 3.398
   53.16,    1027.0,  41.9     ,40063.918, 40098.638,36958.965,2-Jun-2025,16:26:32,Ba133,53.16,500000, 542004, 25.600000, 4.000000, 3.398
   80.97,    4045.5,  69.3     ,40063.918, 40098.638,36958.965,2-Jun-2025,16:26:32,Ba133,81.00,500000, 542004, 25.600000, 4.000000, 3.398
