Centroid,  Net_Area,   Net_Area,, ,          ,     ,     , Nuclide, Photopeak_Energy,,
     keV,    Counts,Uncertainty,AccumulatedTime, RealTime,  LiveTime, Date, Time,        ,              keV,slowCounts, fastCounts, peakingTime, flatTopWidth, Gain
   11.88,    8842.3,  105.9    ,402.670, 404.104,373.033,24-Jul-2025,11:49:12,Am241 (x-ray),11.87,500000, 539714, 25.600000, 4.000000, 3.398
   26.35,   11456.6,  107.9    ,402.670, 404.104,373.033,24-Jul-2025,11:49:12,Am241,26.35,500000, 539714, 25.600000, 4.000000, 3.398
   33.20,     307.9,  18.4     ,402.670, 404.104,373.033,24-Jul-2025,11:49:12,Am241,33.20,500000, 539714, 25.600000, 4.000000, 3.398
   59.53,   16109.9,  127.4    ,402.670, 404.104,373.033,24-Jul-2025,11:49:12,Am241,59.54,500000, 539714, 25.600000, 4.000000, 3.398
