#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-17, 10:49:09
# Real time (s): 12351.430
# Live time (s): 12032.110
#
# Total counts:  23907440
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       455452
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
209	50.841	7701	0.640037
210	51.085	7658	0.636464
211	51.329	7734	0.64278
212	51.573	7898	0.65641
213	51.817	8072	0.670872
214	52.061	8270	0.687327
215	52.305	8573	0.71251
216	52.548	9070	0.753816
217	52.792	9635	0.800774
218	53.036	10178	0.845903
219	53.280	10575	0.878898
220	53.524	10180	0.846069
221	53.768	9538	0.792712
222	54.012	8623	0.716666
223	54.256	7891	0.655828
224	54.499	7416	0.616351
225	54.743	6927	0.575709
226	54.987	6607	0.549114
227	55.231	6482	0.538725
228	55.475	6402	0.532076
229	55.719	6160	0.511963
230	55.963	6159	0.51188
231	56.206	5863	0.487279
232	56.450	6012	0.499663
233	56.694	5747	0.477639
234	56.938	5730	0.476226
235	57.182	5698	0.473566
236	57.426	5596	0.465089
237	57.670	5926	0.492515
238	57.913	6877	0.571554
239	58.157	9835	0.817396
240	58.401	17154	1.42569
241	58.645	31763	2.63985
242	58.889	55229	4.59013
243	59.133	85335	7.09227
244	59.377	113978	9.47282
245	59.621	130691	10.8619
246	59.864	127716	10.6146
247	60.108	106241	8.82979
248	60.352	74999	6.23324
249	60.596	45484	3.78022
250	60.840	24941	2.07287
251	61.084	13236	1.10006
252	61.328	7809	0.649013
253	61.571	6045	0.502406
254	61.815	5424	0.450794
255	62.059	5353	0.444893
256	62.303	4970	0.413061
257	62.547	4849	0.403005
258	62.791	4576	0.380316
259	63.035	4353	0.361782
260	63.278	4147	0.344661
261	63.522	4218	0.350562
262	63.766	4297	0.357128
263	64.010	4261	0.354136
264	64.254	4342	0.360868
265	64.498	4381	0.364109
266	64.742	4489	0.373085
267	64.986	4555	0.37857
268	65.229	4766	0.396107
269	65.473	4944	0.4109
270	65.717	5148	0.427855
271	65.961	5368	0.44614
272	66.205	5570	0.462928
273	66.449	5452	0.453121
274	66.693	5416	0.450129
275	66.936	5260	0.437164
276	67.180	5012	0.416552
277	67.424	5057	0.420292
278	67.668	4891	0.406496
279	67.912	4776	0.396938
280	68.156	4663	0.387546
281	68.400	4583	0.380897
282	68.644	4792	0.398268
283	68.887	4643	0.385884
