Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type, Skew_Type, Continuum_Coefficients, Skew_Coefficients
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               ,          ,                       ,                  
   30.63,   84769.0,  328.2    ,1.3586e+000, 0.29,  0.96%,   1.75,  248110.3,  1,  ,62396.258,15-May-2025,17:12:44,Ba133 (x-ray),30.62,29.668,32.2583,#00b9ff,,Linear,NoSkew,29.668 4757.453 -775.8456,
   30.98,  153526.0,  419.2    ,2.4605e+000, 0.30,  0.97%,   1.75,  248110.3,  2,  ,62396.258,15-May-2025,17:12:44,Ba133 (x-ray),30.97,29.668,32.2583,#00b9ff,,Linear,NoSkew,29.668 4757.453 -775.8456,
   34.97,   31549.2,  181.6    ,5.0563e-001, 0.33,  0.95%,   1.54,   42669.0,  3,  ,62396.258,15-May-2025,17:12:44,Ba133 (x-ray),34.99;34.92,33.6211,37.0139,#00b9ff,,Linear,NoSkew,33.6211 1556.254 -280.4581,
   35.84,    7347.1,  91.4     ,1.1775e-001, 0.35,  0.97%,   1.54,   42669.0,  4,  ,62396.258,15-May-2025,17:12:44,Ba133 (x-ray),35.82,33.6211,37.0139,#00b9ff,,Linear,NoSkew,33.6211 1556.254 -280.4581,
   53.18,    1134.6,  42.5     ,1.8184e-002, 0.38,  0.71%,   1.18,    2355.0,  5,  ,62396.258,15-May-2025,17:12:44,Ba133,53.16,52.2501,54.1582,#00b9ff,,Linear,NoSkew,52.2501 610.0842 1.455002,
   80.99,    3943.7,  68.1     ,6.3205e-002, 0.45,  0.55%,   0.89,    5157.8,  7,  ,62396.258,15-May-2025,17:12:44,Ba133,81.00,80.1024,83.3559,#00b9ff,,Linear,NoSkew,80.1024 370.7326 -10.26545,
