Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type, Skew_Type, Continuum_Coefficients, Skew_Coefficients
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               ,          ,                       ,                  
30.62,84250.1,327.3,9.7473E-01,0.29,0.96%,1.76,249481.8,1,  ,86434.586,16-May-2025,19:20:00,Ba133 (x-ray),30.62,29.6122,32.3716,#00b9ff,,Linear,NoSkew,29.6122 5132.606 -905.4429,
30.97,154409.1,420.1,1.7864E+00,0.30,0.97%,1.76,249481.8,2,  ,86434.586,16-May-2025,19:20:00,Ba133 (x-ray),30.97,29.6122,32.3716,#00b9ff,,Linear,NoSkew,29.6122 5132.606 -905.4429,
34.96,31667.0,181.8,3.6637E-01,0.33,0.95%,1.98,43191.8,3,  ,86434.586,16-May-2025,19:20:00,Ba133 (x-ray),34.99;34.92,33.4492,37.1433,#00b9ff,,Linear,NoSkew,33.4492 1581.884 -257.4702,
35.82,7275.7,90.8,8.4176E-02,0.34,0.96%,1.98,43191.8,4,  ,86434.586,16-May-2025,19:20:00,Ba133 (x-ray),35.82,33.4492,37.1433,#00b9ff,,Linear,NoSkew,33.4492 1581.884 -257.4702,
53.16,1062.8,42.1,1.2296E-02,0.38,0.71%,1.43,2323.6,5,  ,86434.586,16-May-2025,19:20:00,Ba133,53.16,52.2058,54.069,#00b9ff,,Linear,NoSkew,52.2058 650.8779 -4.388322,
80.97,3974.5,68.7,4.5983E-02,0.46,0.56%,1.11,5665.6,7,  ,86434.586,16-May-2025,19:20:00,Ba133,81.00,80.1623,84.5728,#00b9ff,,Linear,NoSkew,80.1623 379.0035 -8.832222,
