Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type, Skew_Type, Continuum_Coefficients, Skew_Coefficients
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               ,          ,                       ,                  
   30.62,   85192.3,  329.4    ,1.1709e+000, 0.30,  0.97%,   2.10,  247594.9,  1,  ,72759.031,20-May-2025,15:22:20,Ba133 (x-ray),30.62,29.7143,32.0331,#00b9ff,,Linear,NoSkew,29.7143 4830.59 -810.5916,
   30.97,  153269.3,  419.3    ,2.1065e+000, 0.30,  0.97%,   2.10,  247594.9,  2,  ,72759.031,20-May-2025,15:22:20,Ba133 (x-ray),30.97,29.7143,32.0331,#00b9ff,,Linear,NoSkew,29.7143 4830.59 -810.5916,
   34.96,   31355.9,  180.9    ,4.3096e-001, 0.33,  0.95%,   1.53,   42681.9,  3,  ,72759.031,20-May-2025,15:22:20,Ba133 (x-ray),34.99;34.92,33.4575,36.989,#00b9ff,,Linear,NoSkew,33.4574 1579.924 -266.9894,
   35.82,    7283.5,  91.0     ,1.0010e-001, 0.35,  0.97%,   1.53,   42681.9,  4,  ,72759.031,20-May-2025,15:22:20,Ba133 (x-ray),35.82,33.4575,36.989,#00b9ff,,Linear,NoSkew,33.4574 1579.924 -266.9894,
   53.15,    1103.4,  41.1     ,1.5165e-002, 0.34,  0.65%,   1.59,    2387.6,  5,  ,72759.031,20-May-2025,15:22:20,Ba133,53.16,52.1443,54.1002,#00b9ff,,Linear,NoSkew,52.1443 614.949 6.180262,
   80.97,    4035.4,  68.4     ,5.5463e-002, 0.45,  0.55%,   1.35,    5064.5,  7,  ,72759.031,20-May-2025,15:22:20,Ba133,81.00,79.9233,82.4549,#00b9ff,,Linear,NoSkew,79.9233 384.2104 -1.864794,
