Centroid,  Net_Area,   Net_Area,, ,          ,     ,     , Nuclide, Photopeak_Energy,,
     keV,    Counts,Uncertainty,AccumulatedTime, RealTime,  LiveTime, Date, Time,        ,              keV,slowCounts, fastCounts, peakingTime, flatTopWidth, Gain
   30.62,   83110.8,  325.5    ,57941.160, 57990.088,52784.398,19-May-2025,15:49:39,Ba133 (x-ray),30.62,500000, 548822, 25.600000, 4.000000, 3.398
   30.97,  153985.4,  419.7    ,57941.160, 57990.088,52784.398,19-May-2025,15:49:39,Ba133 (x-ray),30.97,500000, 548822, 25.600000, 4.000000, 3.398
   34.96,   31718.4,  181.8    ,57941.160, 57990.088,52784.398,19-May-2025,15:49:39,Ba133 (x-ray),34.99;34.92,500000, 548822, 25.600000, 4.000000, 3.398
   35.83,    7199.1,  90.5     ,57941.160, 57990.088,52784.398,19-May-2025,15:49:39,Ba133 (x-ray),35.82,500000, 548822, 25.600000, 4.000000, 3.398
   53.15,    1058.0,  40.9     ,57941.160, 57990.088,52784.398,19-May-2025,15:49:39,Ba133,53.16,500000, 548822, 25.600000, 4.000000, 3.398
   80.96,    4045.1,  69.5     ,57941.160, 57990.088,52784.398,19-May-2025,15:49:39,Ba133,81.00,500000, 548822, 25.600000, 4.000000, 3.398
