#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-15, 16:18:27
# Real time (s): 68607.980
# Live time (s): 68064.920
#
# Total counts:  38721283
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       735180
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	0.118	1	1.46919e-05
2	0.361	2	2.93837e-05
3	0.605	6	8.81511e-05
4	0.849	4	5.87674e-05
5	1.093	10	0.000146919
6	1.337	0	0
7	1.581	8	0.000117535
8	1.825	11	0.00016161
9	2.069	5	7.34593e-05
10	2.312	5	7.34593e-05
11	2.556	5	7.34593e-05
12	2.800	6	8.81511e-05
13	3.044	5	7.34593e-05
14	3.288	5	7.34593e-05
15	3.532	5	7.34593e-05
16	3.776	6	8.81511e-05
17	4.019	10	0.000146919
18	4.263	7	0.000102843
19	4.507	8	0.000117535
20	4.751	5	7.34593e-05
21	4.995	12	0.000176302
22	5.239	6	8.81511e-05
23	5.483	8	0.000117535
24	5.726	9	0.000132227
25	5.970	117	0.00171895
26	6.214	1311	0.019261
27	6.458	5784	0.0849777
28	6.702	11074	0.162698
29	6.946	13910	0.204364
30	7.190	15552	0.228488
31	7.434	16800	0.246823
32	7.677	18277	0.268523
33	7.921	19121	0.280923
34	8.165	19295	0.283479
35	8.409	18289	0.268699
36	8.653	16951	0.249042
37	8.897	15764	0.231602
38	9.141	14664	0.215441
39	9.384	14721	0.216279
40	9.628	15970	0.234629
41	9.872	17979	0.264145
42	10.116	20819	0.30587
43	10.360	25213	0.370426
44	10.604	31050	0.456182
45	10.848	38889	0.571352
46	11.091	48059	0.706076
47	11.335	59906	0.88013
48	11.579	74684	1.09725
49	11.823	91976	1.3513
50	12.067	108970	1.60097
51	12.311	121279	1.78181
52	12.555	130873	1.92277
53	12.799	141330	2.0764
54	13.042	159987	2.35051
55	13.286	191597	2.81492
56	13.530	233810	3.4351
57	13.774	273659	4.02056
58	14.018	298979	4.39256
59	14.262	298458	4.3849
60	14.506	269539	3.96003
61	14.749	220164	3.23462
62	14.993	167526	2.46127
63	15.237	126375	1.85668
64	15.481	99255	1.45824
65	15.725	84085	1.23536
66	15.969	74322	1.09193
67	16.213	67260	0.988174
68	16.457	61126	0.898054
69	16.700	57786	0.848984
70	16.944	58137	0.85414
71	17.188	63487	0.932742
72	17.432	70308	1.03296
73	17.676	75228	1.10524
74	17.920	74591	1.09588
75	18.164	67132	0.986294
76	18.407	55584	0.816632
77	18.651	43970	0.646001
78	18.895	35356	0.519445
79	19.139	31782	0.466937
80	19.383	33627	0.494043
81	19.627	40640	0.597077
82	19.871	53467	0.785529
83	20.114	73209	1.07558
84	20.358	103791	1.52488
85	20.602	152401	2.23905
86	20.846	230223	3.3824
87	21.090	361745	5.31471
88	21.334	567120	8.33205
89	21.578	848523	12.4664
90	21.822	1151802	16.9221
91	22.065	1379144	20.2622
92	22.309	1423658	20.9162
93	22.553	1263421	18.562
94	22.797	955790	14.0423
95	23.041	622298	9.14271
96	23.285	354905	5.21421
97	23.529	193734	2.84631
98	23.772	122863	1.80509
99	24.016	114185	1.67759
100	24.260	146054	2.1458
101	24.504	202371	2.97321
102	24.748	263690	3.8741
103	24.992	304854	4.47887
104	25.236	308912	4.53849
105	25.479	274217	4.02876
106	25.723	211990	3.11453
107	25.967	145426	2.13658
108	26.211	93402	1.37225
109	26.455	57940	0.851246
110	26.699	37299	0.547992
111	26.943	26693	0.39217
112	27.187	20522	0.301506
113	27.430	17985	0.264233
114	27.674	17655	0.259385
115	27.918	18471	0.271373
116	28.162	21017	0.308779
117	28.406	23434	0.344289
118	28.650	26829	0.394168
119	28.894	29950	0.440021
120	29.137	34146	0.501668
121	29.381	39117	0.574701
122	29.625	48961	0.719328
123	29.869	67322	0.989085
124	30.113	97824	1.43722
125	30.357	139741	2.05305
126	30.601	183684	2.69866
127	30.845	216695	3.18365
128	31.088	223978	3.29065
129	31.332	202685	2.97782
130	31.576	162465	2.38691
131	31.820	120680	1.77301
132	32.064	88925	1.30647
133	32.308	73142	1.07459
134	32.552	73702	1.08282
135	32.795	86220	1.26673
136	33.039	102972	1.51285
137	33.283	115724	1.7002
138	33.527	117909	1.7323
139	33.771	107468	1.5789
140	34.015	89587	1.3162
141	34.259	71654	1.05273
142	34.502	60557	0.889695
143	34.746	56881	0.835687
144	34.990	57163	0.839831
145	35.234	56075	0.823846
146	35.478	51622	0.758423
147	35.722	43891	0.64484
148	35.966	35935	0.527952
149	36.210	28784	0.42289
150	36.453	23157	0.340219
151	36.697	19737	0.289973
152	36.941	18876	0.277323
153	37.185	20515	0.301403
154	37.429	24070	0.353633
155	37.673	27714	0.40717
156	37.917	29670	0.435907
157	38.160	29247	0.429693
158	38.404	26058	0.38284
159	38.648	21474	0.315493
160	38.892	17371	0.255212
161	39.136	13912	0.204393
162	39.380	11249	0.165269
163	39.624	9179	0.134857
