#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-19, 12:46:57
# Real time (s): 342045.700
# Live time (s): 336460.000
#
# Total counts:  395847040
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       8096772
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	0.118	58	0.000172383
2	0.361	50	0.000148606
3	0.605	62	0.000184272
4	0.849	74	0.000219937
5	1.093	75	0.000222909
6	1.337	56	0.000166439
7	1.581	82	0.000243714
8	1.825	73	0.000216965
9	2.069	63	0.000187244
10	2.312	87	0.000258575
11	2.556	84	0.000249658
12	2.800	91	0.000270463
13	3.044	98	0.000291268
14	3.288	99	0.00029424
15	3.532	82	0.000243714
16	3.776	99	0.00029424
17	4.019	116	0.000344766
18	4.263	90	0.000267491
19	4.507	106	0.000315045
20	4.751	115	0.000341794
21	4.995	155	0.000460679
22	5.239	1337	0.00397373
23	5.483	14711	0.0437229
24	5.726	65449	0.194522
25	5.970	122886	0.365232
26	6.214	151480	0.450217
27	6.458	159760	0.474826
28	6.702	158817	0.472023
29	6.946	156317	0.464593
30	7.190	158668	0.471581
31	7.434	164972	0.490317
32	7.677	174425	0.518412
33	7.921	180998	0.537948
34	8.165	177651	0.528
35	8.409	163844	0.486964
36	8.653	147000	0.436902
37	8.897	134138	0.398674
38	9.141	133180	0.395827
39	9.384	141523	0.420624
40	9.628	158598	0.471373
41	9.872	183016	0.543946
42	10.116	215107	0.639324
43	10.360	261157	0.77619
44	10.604	327972	0.974773
45	10.848	413314	1.22842
46	11.091	510308	1.5167
47	11.335	620528	1.84428
48	11.579	774267	2.30122
49	11.823	993462	2.95269
50	12.067	1231732	3.66086
51	12.311	1394963	4.146
52	12.555	1435950	4.26782
53	12.799	1453510	4.32001
54	13.042	1594515	4.73909
55	13.286	1954640	5.80943
56	13.530	2493719	7.41164
57	13.774	3064817	9.10901
58	14.018	3465761	10.3007
59	14.262	3474997	10.3281
60	14.506	3034961	9.02027
61	14.749	2327183	6.91667
62	14.993	1641887	4.87989
63	15.237	1181599	3.51186
64	15.481	948270	2.81837
65	15.725	855577	2.54288
66	15.969	793146	2.35733
67	16.213	715139	2.12548
68	16.457	628587	1.86824
69	16.700	576364	1.71302
70	16.944	589636	1.75247
71	17.188	669130	1.98874
72	17.432	785833	2.33559
73	17.676	881570	2.62013
74	17.920	888078	2.63948
75	18.164	778912	2.31502
76	18.407	601621	1.78809
77	18.651	432043	1.28408
78	18.895	331222	0.984432
79	19.139	304283	0.904366
80	19.383	337109	1.00193
81	19.627	421344	1.25229
82	19.871	564295	1.67715
83	20.114	785986	2.33605
84	20.358	1110943	3.30186
85	20.602	1556749	4.62685
86	20.846	2206062	6.55668
87	21.090	3316501	9.85704
88	21.334	5395912	16.0373
89	21.578	8867380	26.3549
90	21.822	13303322	39.5391
91	22.065	16978197	50.4613
92	22.309	17817832	52.9568
93	22.553	15147397	45.0199
94	22.797	10406587	30.9296
95	23.041	5841525	17.3617
96	23.285	2805326	8.33777
97	23.529	1334452	3.96615
98	23.772	861700	2.56108
99	24.016	925834	2.75169
100	24.260	1366415	4.06115
101	24.504	2142258	6.36705
102	24.748	3068457	9.11983
103	24.992	3738387	11.1109
104	25.236	3785387	11.2506
105	25.479	3183247	9.461
106	25.723	2256165	6.7056
107	25.967	1401166	4.16444
108	26.211	814891	2.42196
109	26.455	493977	1.46816
110	26.699	330980	0.983713
111	26.943	245027	0.72825
112	27.187	198764	0.590751
113	27.430	181470	0.539351
114	27.674	187359	0.556854
115	27.918	207011	0.615262
116	28.162	234647	0.697399
117	28.406	263401	0.78286
118	28.650	289651	0.860878
119	28.894	311687	0.926372
120	29.137	330395	0.981974
121	29.381	357514	1.06258
122	29.625	422771	1.25653
123	29.869	584957	1.73856
124	30.113	923197	2.74385
125	30.357	1461766	4.34455
126	30.601	2102855	6.24994
127	30.845	2590315	7.69873
128	31.088	2676575	7.95511
129	31.332	2318937	6.89216
130	31.576	1704986	5.06743
131	31.820	1126996	3.34957
132	32.064	758516	2.2544
133	32.308	623259	1.8524
134	32.552	676796	2.01152
135	32.795	871389	2.58987
136	33.039	1132328	3.36542
137	33.283	1340012	3.98268
138	33.527	1372463	4.07913
139	33.771	1197482	3.55906
140	34.015	911851	2.71013
141	34.259	663191	1.97108
142	34.502	556134	1.6529
143	34.746	574983	1.70892
144	34.990	632402	1.87958
145	35.234	637748	1.89546
146	35.478	569005	1.69115
147	35.722	461127	1.37053
148	35.966	360542	1.07157
149	36.210	279220	0.829876
150	36.453	219944	0.6537
151	36.697	181368	0.539048
152	36.941	170762	0.507525
153	37.185	196172	0.583047
154	37.429	250591	0.744787
155	37.673	309606	0.920187
156	37.917	339770	1.00984
157	38.160	324098	0.963259
158	38.404	274787	0.8167
159	38.648	218941	0.650719
160	38.892	173362	0.515253
161	39.136	137428	0.408453
162	39.380	108325	0.321955
163	39.624	86537	0.257198
164	39.868	71860	0.213577
165	40.111	64501	0.191705
166	40.355	61246	0.182031
167	40.599	60233	0.17902
168	40.843	59431	0.176636
169	41.087	59274	0.17617
170	41.331	59963	0.178217
171	41.575	59873	0.17795
172	41.818	60088	0.178589
173	42.062	61120	0.181656
174	42.306	61162	0.181781
175	42.550	62998	0.187238
176	42.794	64002	0.190222
177	43.038	66337	0.197162
178	43.282	68167	0.202601
179	43.525	69227	0.205751
180	43.769	69615	0.206904
181	44.013	69063	0.205264
182	44.257	67972	0.202021
183	44.501	68026	0.202182
184	44.745	66879	0.198773
185	44.989	67305	0.200039
186	45.233	66352	0.197206
187	45.476	66396	0.197337
188	45.720	67584	0.200868
189	45.964	67374	0.200244
190	46.208	68155	0.202565
191	46.452	68734	0.204286
192	46.696	70112	0.208381
193	46.940	71092	0.211294
194	47.183	72916	0.216715
195	47.427	74906	0.22263
196	47.671	77345	0.229879
197	47.915	80645	0.239687
198	48.159	86232	0.256292
199	48.403	91977	0.273367
200	48.647	97969	0.291176
201	48.890	104976	0.312001
202	49.134	111598	0.331683
203	49.378	117881	0.350357
204	49.622	123647	0.367494
205	49.866	126708	0.376592
206	50.110	127039	0.377575
207	50.354	125375	0.37263
208	50.598	126428	0.375759
209	50.841	127872	0.380051
210	51.085	130369	0.387473
211	51.329	134896	0.400927
212	51.573	138329	0.411131
213	51.817	142992	0.42499
214	52.061	147603	0.438694
215	52.305	155399	0.461865
216	52.548	167590	0.498098
217	52.792	182882	0.543548
218	53.036	197225	0.586177
219	53.280	203167	0.603837
220	53.524	195678	0.581579
221	53.768	177729	0.528232
222	54.012	158367	0.470686
223	54.256	142195	0.422621
224	54.499	132331	0.393304
225	54.743	126735	0.376672
226	54.987	123254	0.366326
227	55.231	120367	0.357745
228	55.475	116794	0.347126
229	55.719	114320	0.339773
230	55.963	112678	0.334893
231	56.206	109505	0.325462
232	56.450	106383	0.316183
233	56.694	103827	0.308586
234	56.938	101899	0.302856
235	57.182	100285	0.298059
236	57.426	98468	0.292659
237	57.670	98009	0.291295
238	57.913	101989	0.303124
239	58.157	124006	0.368561
240	58.401	199280	0.592284
241	58.645	397337	1.18093
242	58.889	798150	2.3722
243	59.133	1408434	4.18604
244	59.377	2042968	6.07195
245	59.621	2413720	7.17387
246	59.864	2295454	6.82237
247	60.108	1761771	5.2362
248	60.352	1096805	3.25984
249	60.596	566832	1.68469
250	60.840	260983	0.775673
251	61.084	130078	0.386608
