#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-17, 09:57:09
# Real time (s): 3036.380
# Live time (s): 2930.450
#
# Total counts:  7939561
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       151851
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	0.118	2	0.000682489
2	0.361	0	0
3	0.605	0	0
4	0.849	3	0.00102373
5	1.093	1	0.000341245
6	1.337	1	0.000341245
7	1.581	0	0
8	1.825	0	0
9	2.069	2	0.000682489
10	2.312	1	0.000341245
11	2.556	1	0.000341245
12	2.800	0	0
13	3.044	1	0.000341245
14	3.288	0	0
15	3.532	2	0.000682489
16	3.776	2	0.000682489
17	4.019	2	0.000682489
18	4.263	2	0.000682489
19	4.507	4	0.00136498
20	4.751	0	0
21	4.995	1	0.000341245
22	5.239	3	0.00102373
23	5.483	4	0.00136498
24	5.726	1	0.000341245
25	5.970	6	0.00204747
26	6.214	16	0.00545991
27	6.458	125	0.0426556
28	6.702	652	0.222491
29	6.946	1610	0.549404
30	7.190	2286	0.780085
31	7.434	2834	0.967087
32	7.677	3133	1.06912
33	7.921	3259	1.11212
34	8.165	3182	1.08584
35	8.409	2968	1.01281
36	8.653	2832	0.966404
37	8.897	2649	0.903957
38	9.141	2733	0.932621
39	9.384	2907	0.991998
40	9.628	3299	1.12577
41	9.872	3742	1.27694
42	10.116	4561	1.55642
43	10.360	5695	1.94339
44	10.604	6958	2.37438
45	10.848	8821	3.01012
46	11.091	10748	3.6677
47	11.335	13445	4.58803
48	11.579	17154	5.85371
49	11.823	20980	7.15931
50	12.067	25247	8.6154
51	12.311	28331	9.6678
52	12.555	30330	10.3499
53	12.799	32977	11.2532
54	13.042	36570	12.4793
55	13.286	42818	14.6114
56	13.530	52032	17.7556
57	13.774	61355	20.9371
58	14.018	66577	22.719
59	14.262	66565	22.7149
60	14.506	59091	20.1645
61	14.749	49193	16.7868
62	14.993	37537	12.8093
63	15.237	28446	9.70704
64	15.481	22088	7.53741
65	15.725	18755	6.40004
66	15.969	16762	5.71994
67	16.213	14909	5.08761
68	16.457	13870	4.73306
69	16.700	12863	4.38943
70	16.944	13172	4.49487
71	17.188	14215	4.85079
72	17.432	16090	5.49062
73	17.676	16983	5.79536
74	17.920	17121	5.84245
75	18.164	15304	5.22241
76	18.407	12630	4.30992
77	18.651	9948	3.3947
78	18.895	8019	2.73644
79	19.139	7119	2.42932
80	19.383	7651	2.61086
81	19.627	9315	3.17869
82	19.871	12536	4.27784
83	20.114	17375	5.92912
84	20.358	24375	8.31784
85	20.602	34540	11.7866
86	20.846	51904	17.712
87	21.090	80719	27.5449
88	21.334	127097	43.3712
89	21.578	193005	65.8619
90	21.822	265219	90.5045
91	22.065	318641	108.734
92	22.309	331923	113.267
93	22.553	295599	100.872
94	22.797	225345	76.8977
95	23.041	147377	50.2916
96	23.285	84529	28.8451
97	23.529	45576	15.5526
98	23.772	27813	9.49103
99	24.016	25014	8.53589
100	24.260	32411	11.0601
101	24.504	45741	15.6089
102	24.748	60666	20.7019
103	24.992	70852	24.1779
104	25.236	72253	24.6559
105	25.479	64317	21.9478
106	25.723	49886	17.0233
107	25.967	34292	11.702
108	26.211	21813	7.44357
109	26.455	13554	4.62523
110	26.699	8745	2.98418
111	26.943	6098	2.08091
112	27.187	4811	1.64173
113	27.430	4183	1.42743
114	27.674	4030	1.37522
115	27.918	4328	1.47691
116	28.162	4727	1.61306
117	28.406	4936	1.68438
118	28.650	5265	1.79665
119	28.894	5743	1.95977
120	29.137	6265	2.1379
121	29.381	7129	2.43273
122	29.625	9165	3.12751
123	29.869	13297	4.53753
124	30.113	20263	6.91464
125	30.357	29502	10.0674
126	30.601	39065	13.3307
127	30.845	46076	15.7232
128	31.088	47790	16.3081
129	31.332	43149	14.7244
130	31.576	34861	11.8961
131	31.820	25855	8.82288
132	32.064	19299	6.58568
133	32.308	15770	5.38143
134	32.552	15971	5.45002
135	32.795	18763	6.40277
136	33.039	22727	7.75546
137	33.283	25304	8.63485
138	33.527	26169	8.93003
139	33.771	24055	8.20864
140	34.015	20018	6.83103
141	34.259	15666	5.34594
142	34.502	13340	4.5522
143	34.746	12334	4.20891
144	34.990	12154	4.14749
145	35.234	12095	4.12735
146	35.478	11074	3.77894
147	35.722	9511	3.24558
148	35.966	7694	2.62554
149	36.210	6304	2.15121
150	36.453	4915	1.67722
151	36.697	4265	1.45541
152	36.941	4010	1.36839
153	37.185	4513	1.54004
154	37.429	5274	1.79972
155	37.673	5992	2.04474
156	37.917	6417	2.18977
157	38.160	6435	2.19591
158	38.404	5894	2.0113
159	38.648	4841	1.65196
160	38.892	3898	1.33017
161	39.136	3243	1.10666
162	39.380	2497	0.852088
163	39.624	1932	0.659284
164	39.868	1648	0.562371
165	40.111	1457	0.497193
166	40.355	1281	0.437134
167	40.599	1265	0.431674
168	40.843	1294	0.44157
169	41.087	1185	0.404375
170	41.331	1258	0.429286
171	41.575	1233	0.420754
172	41.818	1297	0.442594
173	42.062	1265	0.431674
174	42.306	1290	0.440205
175	42.550	1270	0.433381
176	42.794	1359	0.463751
177	43.038	1414	0.48252
178	43.282	1366	0.46614
179	43.525	1469	0.501288
180	43.769	1421	0.484908
181	44.013	1465	0.499923
182	44.257	1405	0.479449
183	44.501	1396	0.476377
184	44.745	1423	0.485591
185	44.989	1364	0.465458
186	45.233	1306	0.445665
187	45.476	1196	0.408128
188	45.720	1343	0.458291
189	45.964	1268	0.432698
190	46.208	1333	0.454879
191	46.452	1301	0.443959
192	46.696	1376	0.469552
193	46.940	1310	0.44703
194	47.183	1416	0.483202
195	47.427	1451	0.495146
196	47.671	1451	0.495146
197	47.915	1642	0.560323
198	48.159	1725	0.588647
199	48.403	1752	0.59786
200	48.647	1878	0.640857
201	48.890	2029	0.692385
202	49.134	2139	0.729922
203	49.378	2347	0.800901
204	49.622	2458	0.838779
205	49.866	2411	0.822741
206	50.110	2510	0.856524
207	50.354	2467	0.84185
208	50.598	2576	0.879046
209	50.841	2507	0.8555
210	51.085	2446	0.834684
211	51.329	2490	0.849699
212	51.573	2476	0.844921
213	51.817	2578	0.879728
214	52.061	2521	0.860277
215	52.305	2564	0.874951
216	52.548	2890	0.986197
217	52.792	2952	1.00735
218	53.036	3275	1.11758
219	53.280	3456	1.17934
220	53.524	3228	1.10154
221	53.768	3095	1.05615
222	54.012	2693	0.918971
223	54.256	2461	0.839803
224	54.499	2359	0.804996
225	54.743	2161	0.737429
226	54.987	2156	0.735723
227	55.231	1990	0.679077
228	55.475	2079	0.709447
229	55.719	1985	0.67737
230	55.963	1933	0.659626
231	56.206	1929	0.658261
232	56.450	1877	0.640516
233	56.694	1830	0.624477
234	56.938	1874	0.639492
235	57.182	1833	0.625501
236	57.426	1878	0.640857
237	57.670	1951	0.665768
238	57.913	2360	0.805337
239	58.157	3339	1.13942
240	58.401	5873	2.00413
241	58.645	10961	3.74038
242	58.889	18899	6.44918
243	59.133	29213	9.96878
244	59.377	39114	13.3474
245	59.621	44262	15.1042
246	59.864	43209	14.7448
247	60.108	36239	12.3664
248	60.352	25525	8.71027
249	60.596	15810	5.39508
250	60.840	8557	2.92003
251	61.084	4646	1.58542
252	61.328	2738	0.934327
253	61.571	2163	0.738112
254	61.815	2024	0.690679
255	62.059	1898	0.647682
256	62.303	1856	0.63335
257	62.547	1694	0.578068
258	62.791	1591	0.54292
259	63.035	1444	0.492757
260	63.278	1431	0.488321
261	63.522	1415	0.482861
262	63.766	1365	0.465799
263	64.010	1387	0.473306
264	64.254	1415	0.482861
265	64.498	1419	0.484226
266	64.742	1416	0.483202
