#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-15, 14:45:40
# Real time (s): 5475.910
# Live time (s): 5076.570
#
# Total counts:  29804962
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       572751
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	0.118	6	0.0011819
2	0.361	7	0.00137888
3	0.605	13	0.00256078
4	0.849	5	0.000984917
5	1.093	6	0.0011819
6	1.337	9	0.00177285
7	1.581	10	0.00196983
8	1.825	6	0.0011819
9	2.069	3	0.00059095
10	2.312	11	0.00216682
11	2.556	7	0.00137888
12	2.800	10	0.00196983
13	3.044	13	0.00256078
14	3.288	12	0.0023638
15	3.532	14	0.00275777
16	3.776	12	0.0023638
17	4.019	11	0.00216682
18	4.263	11	0.00216682
19	4.507	14	0.00275777
20	4.751	15	0.00295475
21	4.995	14	0.00275777
22	5.239	20	0.00393967
23	5.483	14	0.00275777
24	5.726	20	0.00393967
25	5.970	11	0.00216682
26	6.214	28	0.00551554
27	6.458	42	0.0082733
28	6.702	180	0.035457
29	6.946	997	0.196392
30	7.190	3241	0.638423
31	7.434	6540	1.28827
32	7.677	9314	1.8347
33	7.921	10574	2.0829
34	8.165	11118	2.19006
35	8.409	10710	2.10969
36	8.653	10130	1.99544
37	8.897	10137	1.99682
38	9.141	10025	1.97476
39	9.384	11058	2.17824
40	9.628	12608	2.48357
41	9.872	14716	2.89881
42	10.116	17921	3.53014
43	10.360	21772	4.28872
44	10.604	27645	5.44561
45	10.848	34235	6.74373
46	11.091	42885	8.44763
47	11.335	53752	10.5883
48	11.579	68062	13.4071
49	11.823	84787	16.7016
50	12.067	100195	19.7368
51	12.311	112802	22.2201
52	12.555	120786	23.7928
53	12.799	126295	24.878
54	13.042	137754	27.1353
55	13.286	158294	31.1813
56	13.530	188078	37.0482
57	13.774	214944	42.3404
58	14.018	233628	46.0208
59	14.262	232553	45.8091
60	14.506	210290	41.4236
61	14.749	174103	34.2954
62	14.993	134857	26.5646
63	15.237	102866	20.2629
64	15.481	82212	16.1944
65	15.725	69215	13.6342
66	15.969	61230	12.0613
67	16.213	54538	10.7431
68	16.457	50093	9.86749
69	16.700	47818	9.41935
70	16.944	48389	9.53183
71	17.188	53477	10.5341
72	17.432	58875	11.5974
73	17.676	62736	12.358
74	17.920	62776	12.3658
75	18.164	56994	11.2269
76	18.407	47096	9.27713
77	18.651	37082	7.30454
78	18.895	29655	5.84154
79	19.139	27138	5.34574
80	19.383	29205	5.7529
81	19.627	36206	7.13198
82	19.871	48746	9.60215
83	20.114	66343	13.0685
84	20.358	93718	18.4609
85	20.602	134663	26.5264
86	20.846	200800	39.5543
87	21.090	315146	62.0785
88	21.334	498248	98.1466
89	21.578	749769	147.692
90	21.822	1020346	200.991
91	22.065	1227850	241.866
92	22.309	1280055	252.15
93	22.553	1142931	225.138
94	22.797	876441	172.644
95	23.041	578821	114.018
96	23.285	336978	66.3791
97	23.529	183504	36.1472
98	23.772	112592	22.1788
99	24.016	101995	20.0913
100	24.260	129461	25.5017
101	24.504	180949	35.6439
102	24.748	235585	46.4063
103	24.992	275950	54.3576
104	25.236	279835	55.1228
105	25.479	249394	49.1265
106	25.723	194794	38.3712
107	25.967	135763	26.7431
108	26.211	87319	17.2004
109	26.455	54504	10.7364
110	26.699	34918	6.87827
111	26.943	24129	4.75301
112	27.187	18882	3.71944
113	27.430	16365	3.22363
114	27.674	15804	3.11313
115	27.918	16097	3.17084
116	28.162	16927	3.33434
117	28.406	17815	3.50926
118	28.650	18799	3.70309
119	28.894	19660	3.87269
120	29.137	21775	4.28931
121	29.381	25492	5.0215
122	29.625	33001	6.50065
123	29.869	47761	9.40812
124	30.113	70905	13.9671
125	30.357	102321	20.1555
126	30.601	133906	26.3773
127	30.845	157661	31.0566
128	31.088	163503	32.2074
129	31.332	149650	29.4786
130	31.576	121601	23.9534
131	31.820	91905	18.1038
132	32.064	68959	13.5838
133	32.308	59398	11.7004
134	32.552	60585	11.9342
135	32.795	70823	13.951
136	33.039	84620	16.6687
137	33.283	95419	18.796
138	33.527	96873	19.0824
139	33.771	88739	17.4801
140	34.015	74934	14.7608
141	34.259	59311	11.6833
142	34.502	49677	9.78554
143	34.746	45422	8.94738
144	34.990	44231	8.71277
145	35.234	43062	8.4825
146	35.478	39876	7.85491
147	35.722	34566	6.80893
148	35.966	28780	5.66918
149	36.210	23669	4.6624
150	36.453	19569	3.85477
151	36.697	17004	3.34951
152	36.941	16678	3.28529
153	37.185	17821	3.51044
154	37.429	20603	4.05845
155	37.673	23874	4.70278
156	37.917	25285	4.98073
157	38.160	24860	4.89701
158	38.404	22301	4.39293
159	38.648	19115	3.76534
160	38.892	15736	3.09973
161	39.136	12586	2.47923
162	39.380	10199	2.00903
163	39.624	8449	1.66431
164	39.868	7118	1.40213
165	40.111	6281	1.23725
166	40.355	5742	1.13108
167	40.599	5705	1.12379
168	40.843	5380	1.05977
169	41.087	5401	1.06391
170	41.331	5306	1.04519
171	41.575	5208	1.02589
172	41.818	5305	1.045
173	42.062	5277	1.03948
174	42.306	5294	1.04283
175	42.550	5643	1.11158
176	42.794	5732	1.12911
177	43.038	6006	1.18308
178	43.282	6017	1.18525
179	43.525	6328	1.24651
180	43.769	6402	1.26109
181	44.013	6372	1.25518
182	44.257	6240	1.22918
183	44.501	6075	1.19667
184	44.745	5784	1.13935
185	44.989	5467	1.07691
186	45.233	5215	1.02727
187	45.476	5179	1.02018
188	45.720	5230	1.03022
189	45.964	4997	0.984326
190	46.208	5199	1.02412
191	46.452	5143	1.01309
192	46.696	5192	1.02274
193	46.940	5523	1.08794
194	47.183	5432	1.07001
195	47.427	5567	1.09661
196	47.671	5728	1.12832
197	47.915	6015	1.18486
198	48.159	6288	1.23863
199	48.403	6882	1.35564
200	48.647	7249	1.42793
201	48.890	7836	1.54356
202	49.134	8359	1.64658
203	49.378	8928	1.75867
204	49.622	9170	1.80634
205	49.866	9398	1.85125
206	50.110	9442	1.85992
207	50.354	9178	1.80791
208	50.598	8988	1.77049
209	50.841	8734	1.72045
210	51.085	8549	1.68401
211	51.329	8396	1.65387
212	51.573	8611	1.69622
213	51.817	8673	1.70844
214	52.061	8933	1.75965
215	52.305	9032	1.77915
216	52.548	9569	1.88493
217	52.792	10385	2.04567
218	53.036	10961	2.15914
219	53.280	11066	2.17982
220	53.524	10608	2.0896
221	53.768	10065	1.98264
222	54.012	9026	1.77797
223	54.256	8414	1.65742
224	54.499	7718	1.52032
225	54.743	7314	1.44074
226	54.987	7373	1.45236
227	55.231	7351	1.44802
228	55.475	7321	1.44212
229	55.719	7319	1.44172
230	55.963	7306	1.43916
231	56.206	7203	1.41887
232	56.450	7075	1.39366
233	56.694	7039	1.38657
234	56.938	7042	1.38716
235	57.182	7032	1.38519
236	57.426	7285	1.43502
237	57.670	7883	1.55282
238	57.913	9491	1.86957
239	58.157	14409	2.83833
240	58.401	24716	4.86864
241	58.645	44785	8.8219
242	58.889	76487	15.0667
243	59.133	116032	22.8564
244	59.377	153114	30.1609
245	59.621	174211	34.3167
246	59.864	168854	33.2614
247	60.108	139893	27.5566
248	60.352	100091	19.7163
249	60.596	62915	12.3932
250	60.840	35451	6.98326
251	61.084	19866	3.91327
252	61.328	13425	2.6445
253	61.571	11221	2.21035
254	61.815	10680	2.10378
255	62.059	10133	1.99603
256	62.303	9222	1.81658
257	62.547	8048	1.58532
258	62.791	6920	1.36313
259	63.035	6090	1.19963
260	63.278	5785	1.13955
261	63.522	5552	1.09365
262	63.766	5538	1.09089
263	64.010	5444	1.07238
264	64.254	5466	1.07671
265	64.498	5473	1.07809
266	64.742	5788	1.14014
267	64.986	6182	1.21775
268	65.229	6768	1.33318
269	65.473	7258	1.42971
270	65.717	7902	1.55656
271	65.961	8448	1.66412
272	66.205	8382	1.65111
273	66.449	8393	1.65328
274	66.693	7940	1.56405
275	66.936	7713	1.51933
276	67.180	7119	1.40232
277	67.424	6454	1.27133
278	67.668	6006	1.18308
279	67.912	5613	1.10567
280	68.156	5292	1.04244
281	68.400	5347	1.05327
282	68.644	5183	1.02096
283	68.887	5176	1.01959
284	69.131	5165	1.01742
285	69.375	5140	1.01249
286	69.619	5238	1.0318
287	69.863	5394	1.06253
288	70.107	5523	1.08794
289	70.351	5460	1.07553
290	70.594	5515	1.08636
291	70.838	5589	1.10094
292	71.082	5595	1.10212
293	71.326	5527	1.08873
294	71.570	5518	1.08695
295	71.814	5457	1.07494
296	72.058	5013	0.987478
297	72.301	4911	0.967385
298	72.545	4996	0.984129
299	72.789	4949	0.974871
300	73.033	4883	0.96187
301	73.277	4816	0.948672
302	73.521	4911	0.967385
303	73.765	4798	0.945126
304	74.009	4819	0.949263
305	74.252	4661	0.91814
306	74.496	4659	0.917746
307	74.740	4672	0.920306
308	74.984	4652	0.916367
309	75.228	4545	0.89529
310	75.472	4495	0.88544
311	75.716	4539	0.894108
312	75.959	4681	0.922079
313	76.203	4521	0.890562
314	76.447	4548	0.89588
315	76.691	4572	0.900608
316	76.935	4679	0.921685
317	77.179	4719	0.929565
318	77.423	4829	0.951233
319	77.666	4794	0.944338
320	77.910	4622	0.910457
321	78.154	4719	0.929565
322	78.398	4963	0.977629
323	78.642	5089	1.00245
324	78.886	5707	1.12418
325	79.130	6843	1.34796
326	79.374	8150	1.60541
327	79.617	10221	2.01337
328	79.861	13807	2.71975
329	80.105	19491	3.8394
330	80.349	28808	5.6747
331	80.593	40579	7.99339
332	80.837	52230	10.2884
333	81.081	58112	11.4471
334	81.324	56664	11.1619
335	81.568	47891	9.43373
336	81.812	34950	6.88457
337	82.056	22933	4.51742
338	82.300	13891	2.7363
339	82.544	8574	1.68894
340	82.788	5858	1.15393
341	83.032	4878	0.960885
342	83.275	4679	0.921685
343	83.519	4909	0.966991
344	83.763	4799	0.945323
345	84.007	5002	0.985311
346	84.251	5017	0.988266
347	84.495	5039	0.992599
348	84.739	5100	1.00462
349	84.982	4950	0.975068
350	85.226	4799	0.945323
351	85.470	4796	0.944732
352	85.714	4803	0.946111
353	85.958	4811	0.947687
354	86.202	5052	0.99516
355	86.446	5862	1.15472
356	86.689	7677	1.51224
357	86.933	11827	2.32972
358	87.177	19233	3.78858
359	87.421	30761	6.05941
360	87.665	44371	8.74035
361	87.909	56785	11.1857
362	88.153	62980	12.406
363	88.397	59709	11.7617
364	88.640	50007	9.85055
365	88.884	35780	7.04807
366	89.128	22914	4.51368
367	89.372	13866	2.73137
368	89.616	8467	1.66786
369	89.860	5700	1.12281
370	90.104	4798	0.945126
371	90.347	4370	0.860817
372	90.591	4289	0.844862
373	90.835	4290	0.845059
374	91.079	4241	0.835407
375	91.323	4346	0.85609
376	91.567	4239	0.835013
377	91.811	4290	0.845059
378	92.055	4272	0.841513
379	92.298	4116	0.810784
380	92.542	4171	0.821618
381	92.786	4210	0.8293
382	93.030	4186	0.824572
383	93.274	4206	0.828512
384	93.518	4161	0.819648
385	93.762	4078	0.803298
386	94.005	4205	0.828315
387	94.249	4104	0.80842
388	94.493	4212	0.829694
389	94.737	4063	0.800344
390	94.981	4183	0.823982
391	95.225	4221	0.831467
392	95.469	4022	0.792267
393	95.712	4037	0.795222
394	95.956	4080	0.803692
395	96.200	3991	0.786161
396	96.444	4191	0.825557
397	96.688	3982	0.784388
398	96.932	4109	0.809405
399	97.176	3998	0.78754
400	97.420	4209	0.829103
401	97.663	4028	0.793449
402	97.907	4137	0.81492
403	98.151	3922	0.772569
404	98.395	4049	0.797586
405	98.639	4142	0.815905
406	98.883	3980	0.783994
407	99.127	4154	0.818269
408	99.370	4198	0.826936
409	99.614	4103	0.808223
410	99.858	3975	0.783009
411	100.102	4123	0.812163
412	100.346	4226	0.832452
413	100.590	4221	0.831467
414	100.834	4245	0.836195
415	101.077	4242	0.835604
416	101.321	4328	0.852544
417	101.565	4329	0.852741
418	101.809	4376	0.861999
419	102.053	4505	0.88741
420	102.297	4395	0.865742
421	102.541	4537	0.893714
422	102.785	4463	0.879137
423	103.028	4375	0.861802
424	103.272	4423	0.871258
425	103.516	4264	0.839937
426	103.760	4213	0.829891
427	104.004	4240	0.83521
428	104.248	4133	0.814132
429	104.492	4263	0.83974
430	104.735	4078	0.803298
431	104.979	4186	0.824572
432	105.223	4131	0.813738
433	105.467	4115	0.810587
434	105.711	4066	0.800934
435	105.955	4080	0.803692
436	106.199	4138	0.815117
437	106.443	4079	0.803495
438	106.686	4176	0.822603
439	106.930	4185	0.824376
440	107.174	4179	0.823194
441	107.418	4095	0.806647
442	107.662	4152	0.817875
443	107.906	4033	0.794434
444	108.150	4190	0.82536
445	108.393	4175	0.822406
446	108.637	4171	0.821618
447	108.881	4234	0.834028
448	109.125	4246	0.836392
449	109.369	4251	0.837376
450	109.613	4480	0.882486
451	109.857	4557	0.897653
452	110.100	4676	0.921094
453	110.344	4886	0.962461
454	110.588	5135	1.01151
455	110.832	5580	1.09917
456	111.076	6138	1.20908
457	111.320	6749	1.32944
458	111.564	7680	1.51283
459	111.808	8395	1.65368
460	112.051	8402	1.65505
461	112.295	8141	1.60364
462	112.539	6998	1.37849
463	112.783	6120	1.20554
464	113.027	5247	1.03357
465	113.271	4465	0.879531
466	113.515	4101	0.807829
467	113.758	3884	0.765084
468	114.002	3896	0.767447
469	114.246	3998	0.78754
470	114.490	4002	0.788328
471	114.734	4028	0.793449
472	114.978	3998	0.78754
473	115.222	4157	0.81886
474	115.465	4188	0.824966
475	115.709	4412	0.869091
476	115.953	4744	0.934489
477	116.197	4639	0.913806
478	116.441	4595	0.905139
479	116.685	4460	0.878546
480	116.929	4350	0.856878
481	117.173	4022	0.792267
482	117.416	3934	0.774933
483	117.660	3919	0.771978
484	117.904	3773	0.743218
485	118.148	3713	0.731399
486	118.392	3643	0.717611
487	118.636	3702	0.729233
488	118.880	3628	0.714656
489	119.123	3675	0.723914
490	119.367	3750	0.738688
491	119.611	3594	0.707958
492	119.855	3713	0.731399
493	120.099	3946	0.777296
494	120.343	4882	0.961673
495	120.587	7357	1.44921
496	120.831	13170	2.59427
497	121.074	24452	4.81664
498	121.318	43724	8.6129
