#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-16, 12:10:26
# Real time (s): 78177.920
# Live time (s): 77461.720
#
# Total counts:  51566419
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       980968
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	0.118	6	7.74576e-05
2	0.361	5	6.4548e-05
3	0.605	7	9.03672e-05
4	0.849	3	3.87288e-05
5	1.093	6	7.74576e-05
6	1.337	8	0.000103277
7	1.581	9	0.000116186
8	1.825	7	9.03672e-05
9	2.069	15	0.000193644
10	2.312	8	0.000103277
11	2.556	6	7.74576e-05
12	2.800	9	0.000116186
13	3.044	9	0.000116186
14	3.288	13	0.000167825
15	3.532	9	0.000116186
16	3.776	8	0.000103277
17	4.019	16	0.000206554
18	4.263	17	0.000219463
19	4.507	9	0.000116186
20	4.751	7	9.03672e-05
21	4.995	9	0.000116186
22	5.239	13	0.000167825
23	5.483	10	0.000129096
24	5.726	22	0.000284011
25	5.970	128	0.00165243
26	6.214	1439	0.0185769
27	6.458	6909	0.0891924
28	6.702	13975	0.180412
29	6.946	18169	0.234555
30	7.190	20337	0.262543
31	7.434	22215	0.286787
32	7.677	24091	0.311005
33	7.921	25206	0.325399
34	8.165	25401	0.327917
35	8.409	23924	0.308849
36	8.653	21919	0.282966
37	8.897	20106	0.25956
38	9.141	19446	0.25104
39	9.384	19987	0.258024
40	9.628	21138	0.272883
41	9.872	24152	0.311793
42	10.116	28131	0.36316
43	10.360	34293	0.442709
44	10.604	42230	0.545173
45	10.848	52059	0.672061
46	11.091	64924	0.838143
47	11.335	80368	1.03752
48	11.579	100344	1.2954
49	11.823	123006	1.58796
50	12.067	147017	1.89793
51	12.311	163968	2.11676
52	12.555	176956	2.28443
53	12.799	191434	2.47134
54	13.042	215749	2.78523
55	13.286	257626	3.32585
56	13.530	314467	4.05964
57	13.774	369507	4.77019
58	14.018	404439	5.22115
59	14.262	404513	5.2221
60	14.506	363562	4.69344
61	14.749	298059	3.84782
62	14.993	225865	2.91583
63	15.237	169569	2.18907
64	15.481	133416	1.72235
65	15.725	112686	1.45473
66	15.969	100791	1.30117
67	16.213	90673	1.17055
68	16.457	81889	1.05715
69	16.700	76769	0.991057
