#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-19, 11:55:27
# Real time (s): 2965.560
# Live time (s): 2907.130
#
# Total counts:  4353092
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       82405
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	0.118	0	0
2	0.361	1	0.000343982
3	0.605	0	0
4	0.849	1	0.000343982
5	1.093	0	0
6	1.337	0	0
7	1.581	2	0.000687964
8	1.825	1	0.000343982
9	2.069	0	0
10	2.312	1	0.000343982
11	2.556	0	0
12	2.800	0	0
13	3.044	2	0.000687964
14	3.288	1	0.000343982
15	3.532	2	0.000687964
16	3.776	0	0
17	4.019	0	0
18	4.263	0	0
19	4.507	1	0.000343982
20	4.751	4	0.00137593
21	4.995	2	0.000687964
22	5.239	0	0
23	5.483	2	0.000687964
24	5.726	0	0
25	5.970	1	0.000343982
26	6.214	28	0.00963149
27	6.458	170	0.0584769
28	6.702	666	0.229092
29	6.946	1153	0.396611
30	7.190	1479	0.508749
31	7.434	1743	0.59956
32	7.677	1791	0.616072
33	7.921	1817	0.625015
34	8.165	1757	0.604376
35	8.409	1763	0.60644
36	8.653	1536	0.528356
37	8.897	1530	0.526292
38	9.141	1519	0.522508
39	9.384	1629	0.560346
40	9.628	1799	0.618823
41	9.872	2124	0.730617
42	10.116	2413	0.830028
43	10.360	3013	1.03642
44	10.604	3718	1.27892
45	10.848	4685	1.61156
46	11.091	5734	1.97239
47	11.335	7317	2.51692
48	11.579	8939	3.07485
49	11.823	10988	3.77967
50	12.067	13089	4.50238
51	12.311	14775	5.08233
52	12.555	15817	5.44076
53	12.799	17121	5.88931
54	13.042	19471	6.69767
55	13.286	22812	7.84691
56	13.530	27729	9.53827
57	13.774	32408	11.1478
58	14.018	35969	12.3727
59	14.262	35483	12.2055
60	14.506	32061	11.0284
61	14.749	26259	9.03262
62	14.993	20204	6.94981
63	15.237	15133	5.20548
64	15.481	11876	4.08513
65	15.725	9980	3.43294
66	15.969	8796	3.02566
67	16.213	7943	2.73225
68	16.457	7375	2.53687
69	16.700	6738	2.31775
70	16.944	7072	2.43264
71	17.188	7745	2.66414
72	17.432	8502	2.92453
73	17.676	9095	3.12852
74	17.920	9100	3.13023
75	18.164	8331	2.86571
76	18.407	6921	2.3807
77	18.651	5222	1.79627
78	18.895	4212	1.44885
79	19.139	3828	1.31676
80	19.383	4154	1.4289
81	19.627	5026	1.72885
82	19.871	6908	2.37623
83	20.114	9618	3.30842
84	20.358	13253	4.55879
85	20.602	18979	6.52843
86	20.846	28048	9.648
87	21.090	43373	14.9195
88	21.334	67900	23.3564
89	21.578	102181	35.1484
90	21.822	138899	47.7787
91	22.065	167359	57.5685
92	22.309	173755	59.7686
93	22.553	154810	53.2518
94	22.797	118444	40.7426
95	23.041	77305	26.5915
96	23.285	45432	15.6278
97	23.529	24355	8.37768
98	23.772	15091	5.19103
99	24.016	13651	4.6957
100	24.260	17241	5.93059
101	24.504	24290	8.35532
102	24.748	31721	10.9114
103	24.992	37115	12.7669
104	25.236	38166	13.1284
105	25.479	33864	11.6486
106	25.723	26211	9.01611
107	25.967	18117	6.23192
108	26.211	11398	3.92071
109	26.455	7203	2.4777
110	26.699	4558	1.56787
111	26.943	3240	1.1145
112	27.187	2490	0.856515
113	27.430	2286	0.786343
114	27.674	2210	0.7602
115	27.918	2374	0.816613
116	28.162	2621	0.901576
117	28.406	2919	1.00408
118	28.650	3095	1.06462
119	28.894	3417	1.17539
120	29.137	3633	1.24969
121	29.381	4211	1.44851
122	29.625	5269	1.81244
123	29.869	7360	2.53171
124	30.113	11152	3.83609
125	30.357	16174	5.56356
126	30.601	21721	7.47163
127	30.845	25532	8.78254
128	31.088	26298	9.04604
129	31.332	24128	8.29959
130	31.576	19366	6.66155
131	31.820	14379	4.94612
132	32.064	10538	3.62488
133	32.308	8765	3.015
134	32.552	8521	2.93107
135	32.795	9974	3.43088
136	33.039	12007	4.13019
137	33.283	13456	4.62862
138	33.527	14015	4.82091
139	33.771	12695	4.36685
140	34.015	10604	3.64758
141	34.259	8421	2.89667
142	34.502	7206	2.47873
143	34.746	6775	2.33048
144	34.990	6848	2.35559
145	35.234	6567	2.25893
146	35.478	5918	2.03568
147	35.722	5108	1.75706
148	35.966	4180	1.43784
149	36.210	3320	1.14202
150	36.453	2651	0.911896
151	36.697	2347	0.807325
152	36.941	2219	0.763296
153	37.185	2365	0.813517
154	37.429	2841	0.977252
155	37.673	3269	1.12448
156	37.917	3470	1.19362
157	38.160	3476	1.19568
158	38.404	3075	1.05774
159	38.648	2527	0.869242
160	38.892	2023	0.695875
161	39.136	1628	0.560002
162	39.380	1244	0.427913
163	39.624	1015	0.349142
164	39.868	892	0.306832
165	40.111	717	0.246635
166	40.355	732	0.251795
167	40.599	692	0.238035
168	40.843	682	0.234596
169	41.087	669	0.230124
170	41.331	632	0.217397
171	41.575	663	0.22806
172	41.818	685	0.235628
173	42.062	700	0.240787
174	42.306	697	0.239755
175	42.550	702	0.241475
176	42.794	684	0.235284
177	43.038	751	0.25833
