#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-17, 14:16:12
# Real time (s): 77709.900
# Live time (s): 76874.930
#
# Total counts:  60769423
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       1153517
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	0.118	8	0.000104065
2	0.361	6	7.80489e-05
3	0.605	10	0.000130081
4	0.849	11	0.00014309
5	1.093	14	0.000182114
6	1.337	9	0.000117073
7	1.581	3	3.90244e-05
8	1.825	8	0.000104065
9	2.069	6	7.80489e-05
10	2.312	7	9.1057e-05
11	2.556	12	0.000156098
12	2.800	15	0.000195122
13	3.044	7	9.1057e-05
14	3.288	9	0.000117073
15	3.532	8	0.000104065
16	3.776	17	0.000221138
17	4.019	17	0.000221138
18	4.263	16	0.00020813
19	4.507	13	0.000169106
20	4.751	10	0.000130081
21	4.995	13	0.000169106
22	5.239	20	0.000260163
23	5.483	16	0.00020813
24	5.726	25	0.000325204
25	5.970	122	0.00158699
26	6.214	1425	0.0185366
27	6.458	7339	0.0954668
28	6.702	15627	0.203278
29	6.946	20856	0.271298
30	7.190	23634	0.307434
31	7.434	25458	0.331161
32	7.677	26963	0.350739
33	7.921	28266	0.367688
34	8.165	28115	0.365724
35	8.409	26653	0.346706
36	8.653	24895	0.323838
37	8.897	22754	0.295987
38	9.141	22196	0.288729
39	9.384	22966	0.298745
40	9.628	24784	0.322394
41	9.872	28278	0.367844
42	10.116	33746	0.438973
43	10.360	40314	0.52441
44	10.604	50387	0.655441
45	10.848	62831	0.817315
46	11.091	77357	1.00627
47	11.335	95919	1.24773
48	11.579	119869	1.55927
49	11.823	147495	1.91864
50	12.067	175194	2.27895
51	12.311	196727	2.55905
52	12.555	212372	2.76257
53	12.799	228179	2.96818
54	13.042	257077	3.34409
55	13.286	308126	4.00815
56	13.530	375484	4.88435
57	13.774	440999	5.73658
58	14.018	484079	6.29697
59	14.262	481873	6.26827
60	14.506	434858	5.65669
61	14.749	353191	4.59436
62	14.993	267970	3.48579
63	15.237	201300	2.61854
64	15.481	158374	2.06015
65	15.725	135009	1.75622
66	15.969	119898	1.55965
67	16.213	107649	1.40031
68	16.457	97596	1.26954
69	16.700	92318	1.20089
70	16.944	93698	1.21884
71	17.188	101517	1.32055
72	17.432	113641	1.47826
73	17.676	122153	1.58898
74	17.920	121451	1.57985
75	18.164	109575	1.42537
76	18.407	90193	1.17324
77	18.651	71003	0.923617
78	18.895	56884	0.739955
79	19.139	51965	0.675968
